Tree,Model,Node,LogLikelihood,AICc,State,Probability
4,ER,PSUA,-15.5884868040475,33.3769736080949,A,0.977453656537178
4,ER,PSUA,-15.5884868040475,33.3769736080949,G,0.0214762417622211
4,ER,PSUA,-15.5884868040475,33.3769736080949,H,0.00107010170060147
4,SYM,PUA,-14.6981752548554,36.7296838430442,A,0.0521691427213947
4,SYM,PUA,-14.6981752548554,36.7296838430442,G,0.947326858859279
4,SYM,PUA,-14.6981752548554,36.7296838430442,H,0.000503998419326466
4,SYM,PNUA,-14.6981752548554,36.7296838430442,A,0.0178269609318898
4,SYM,PNUA,-14.6981752548554,36.7296838430442,G,0.982073352273708
4,SYM,PNUA,-14.6981752548554,36.7296838430442,H,9.96867944020351e-05
4,SYM,PSUA,-14.6981752548554,36.7296838430442,A,0.981577946828185
4,SYM,PSUA,-14.6981752548554,36.7296838430442,G,0.0184215493383839
4,SYM,PSUA,-14.6981752548554,36.7296838430442,H,5.03833430943172e-07
4,ARD,PUA,-12.4074395422113,42.4148790844227,A,8.67653354588488e-07
4,ARD,PUA,-12.4074395422113,42.4148790844227,G,0.858777988027668
4,ARD,PUA,-12.4074395422113,42.4148790844227,H,0.141221144318978
4,ARD,PNUA,-12.4074395422113,42.4148790844227,A,7.75858257585552e-13
4,ARD,PNUA,-12.4074395422113,42.4148790844227,G,0.845384168490518
4,ARD,PNUA,-12.4074395422113,42.4148790844227,H,0.154615831508706
4,ARD,PSUA,-12.4074395422113,42.4148790844227,A,0.965397886006754
4,ARD,PSUA,-12.4074395422113,42.4148790844227,G,0.0302384417090414
4,ARD,PSUA,-12.4074395422113,42.4148790844227,H,0.00436367228420459
5,ER,PUA,-15.3929671589506,32.9859343179013,A,0.304851237714155
5,ER,PUA,-15.3929671589506,32.9859343179013,G,0.674979932006241
5,ER,PUA,-15.3929671589506,32.9859343179013,H,0.0201688302796039
5,ER,PNUA,-15.3929671589506,32.9859343179013,A,0.0718150587373294
5,ER,PNUA,-15.3929671589506,32.9859343179013,G,0.923914125488656
5,ER,PNUA,-15.3929671589506,32.9859343179013,H,0.00427081577401498
5,ER,PSUA,-15.3929671589506,32.9859343179013,A,0.987759098392883
5,ER,PSUA,-15.3929671589506,32.9859343179013,G,0.0114607507305359
5,ER,PSUA,-15.3929671589506,32.9859343179013,H,0.000780150876580974
